Timestamp,Device Type,Channel,Type,Value
2024-11-03 16:45:57,DI-245,2,K,-199.99782400000004
2024-11-03 16:45:57,DI-245,2,K,-199.99782400000004
2024-11-03 16:45:57,DI-245,2,K,-199.99782400000004
2024-11-03 16:45:57,DI-245,1,K,-199.99782400000004
2024-11-03 16:45:57,DI-245,1,K,-199.99782400000004
2024-11-03 16:45:57,DI-245,1,K,-199.99782400000004
2024-11-03 16:45:57,DI-245,1,K,-199.99782400000004
2024-11-03 16:46:57,DI-245,2,K,25.28573199999994
2024-11-03 16:46:57,DI-245,2,K,-199.99782400000004
2024-11-03 16:46:57,DI-245,2,K,-199.99782400000004
2024-11-03 16:46:57,DI-245,2,K,-199.99782400000004
2024-11-03 16:46:57,DI-245,1,K,-199.99782400000004
2024-11-03 16:46:57,DI-245,1,K,-199.99782400000004
2024-11-03 16:46:57,DI-245,1,K,-199.99782400000004
2024-11-03 16:46:57,DI-245,1,K,-199.99782400000004
2024-11-03 16:47:57,DI-245,1,K,-199.99782400000004
2024-11-03 16:47:57,DI-245,1,K,-199.99782400000004
2024-11-03 16:47:57,DI-245,1,K,-199.99782400000004
2024-11-03 16:47:57,DI-245,1,K,-199.99782400000004
2024-11-03 16:47:58,DI-245,2,K,24.805996999999934
2024-11-03 16:47:58,DI-245,2,K,-199.99782400000004
2024-11-03 16:47:58,DI-245,2,K,-199.99782400000004
2024-11-03 16:47:58,DI-245,2,K,-199.99782400000004
2024-11-03 16:48:58,DI-245,1,K,-199.99782400000004
2024-11-03 16:48:58,DI-245,1,K,-199.99782400000004
2024-11-03 16:48:58,DI-245,1,K,-199.99782400000004
2024-11-03 16:48:58,DI-245,1,K,-199.99782400000004
2024-11-03 16:48:58,DI-245,2,K,24.518155999999976
2024-11-03 16:48:58,DI-245,2,K,-199.99782400000004
2024-11-03 16:48:58,DI-245,2,K,-199.99782400000004
2024-11-03 16:48:58,DI-245,2,K,-199.99782400000004
2024-11-03 16:49:58,DI-245,1,K,-199.99782400000004
2024-11-03 16:49:58,DI-245,1,K,-199.99782400000004
2024-11-03 16:49:58,DI-245,1,K,-199.99782400000004
2024-11-03 16:49:58,DI-245,1,K,-199.99782400000004
2024-11-03 16:49:58,DI-245,2,K,24.805996999999934
2024-11-03 16:49:58,DI-245,2,K,-199.99782400000004
2024-11-03 16:49:58,DI-245,2,K,-199.99782400000004
2024-11-03 16:49:58,DI-245,2,K,-199.99782400000004
2024-11-03 16:50:58,DI-245,1,K,-199.99782400000004
2024-11-03 16:50:58,DI-245,1,K,-199.99782400000004
2024-11-03 16:50:58,DI-245,1,K,-199.99782400000004
2024-11-03 16:50:58,DI-245,1,K,-199.99782400000004
2024-11-03 16:50:58,DI-245,2,K,24.805996999999934
2024-11-03 16:50:58,DI-245,2,K,-199.99782400000004
2024-11-03 16:50:58,DI-245,2,K,-199.99782400000004
2024-11-03 16:50:58,DI-245,2,K,-199.99782400000004
2024-11-03 16:51:58,DI-245,1,K,-199.99782400000004
2024-11-03 16:51:58,DI-245,1,K,-199.99782400000004
2024-11-03 16:51:58,DI-245,1,K,-199.99782400000004
2024-11-03 16:51:58,DI-245,1,K,-199.99782400000004
2024-11-03 16:51:58,DI-245,2,K,24.901943999999958
2024-11-03 16:51:58,DI-245,2,K,-199.99782400000004
2024-11-03 16:51:58,DI-245,2,K,-199.99782400000004
2024-11-03 16:51:58,DI-245,2,K,-199.99782400000004
2024-11-03 16:52:58,DI-245,1,K,-199.99782400000004
2024-11-03 16:52:58,DI-245,1,K,-199.99782400000004
2024-11-03 16:52:58,DI-245,1,K,-199.99782400000004
2024-11-03 16:52:58,DI-245,1,K,-199.99782400000004
2024-11-03 16:52:59,DI-245,2,K,24.901943999999958
2024-11-03 16:52:59,DI-245,2,K,-199.99782400000004
2024-11-03 16:52:59,DI-245,2,K,-199.99782400000004
2024-11-03 16:52:59,DI-245,2,K,-199.99782400000004
2024-11-03 16:53:59,DI-245,1,K,-199.99782400000004
2024-11-03 16:53:59,DI-245,1,K,-199.99782400000004
2024-11-03 16:53:59,DI-245,1,K,-199.99782400000004
2024-11-03 16:53:59,DI-245,1,K,-199.99782400000004
2024-11-03 16:53:59,DI-245,2,K,25.28573199999994
2024-11-03 16:53:59,DI-245,2,K,-199.99782400000004
2024-11-03 16:53:59,DI-245,2,K,-199.99782400000004
2024-11-03 16:53:59,DI-245,2,K,-199.99782400000004
2024-11-03 16:54:59,DI-245,1,K,-199.99782400000004
2024-11-03 16:54:59,DI-245,1,K,-199.99782400000004
2024-11-03 16:54:59,DI-245,1,K,-199.99782400000004
2024-11-03 16:54:59,DI-245,1,K,-199.99782400000004
2024-11-03 16:54:59,DI-245,2,K,24.901943999999958
